,person_age,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,male,female,rent,mortage,own,other_ownership,education,medical,venture,personal,debtconsolidation,homeimprovement
male,0.012989333905767972,-0.01006108743077303,0.004667274438044633,0.010490619946780274,0.007354906419894457,-0.0006158531165271939,-0.0017489515001736945,0.005576161803601785,0.0018504720588535452,0.0037643359819631056,1.0,-0.9999999999999998,-0.003886299773516619,0.002136917490316002,0.0030504836998449664,0.003363613541996355,0.0035228594157626107,-0.015375465572815933,-2.264201486893383e-05,-0.0016754791773311193,0.009980179574082823,0.005900099757052437
female,-0.012989333905768086,0.010061087430772872,-0.004667274438044713,-0.01049061994678034,-0.007354906419894498,0.0006158531165271836,0.0017489515001737422,-0.005576161803601909,-0.0018504720588535966,-0.0037643359819630987,-0.9999999999999998,1.0,0.0038862997735165496,-0.0021369174903161435,-0.0030504836998449607,-0.0033636135419964847,-0.003522859415762682,0.015375465572815859,2.2642014868935484e-05,0.001675479177331157,-0.009980179574082884,-0.005900099757052333
rent,-0.041947170577655735,-0.005880995289611403,-0.21171158421062,-0.03955230921674756,-0.15539806403842396,0.15277704217941893,0.137446125505637,-0.031107222573939244,-0.004046746643349387,-0.15280861738718401,-0.003886299773516619,0.0038862997735165496,1.0,-0.8818173333479636,-0.2659914706332739,-0.05298168428539358,-0.0010747045283032953,0.09647739753759976,-0.049028485761537524,-0.027182362635196116,0.021777921711510398,-0.05903923709973426
mortage,0.043402954324246915,0.0035984647490558295,0.23133002159776836,0.039023023299900005,0.16698871678266689,-0.14721078990273112,-0.16776187182095711,0.03190261301341132,0.007394090553804064,0.12891643933624933,0.002136917490316002,-0.0021369174903161435,-0.8818173333479636,1.0,-0.20942181800641987,-0.04171382119010455,0.006639698502226274,-0.0830372184748795,-0.0122876939371724,0.02881406340848228,0.02152486195446917,0.05702926044901509
own,-0.00033082576602827725,0.005594091230674036,-0.03552561525577394,0.0031995783799962886,-0.022764723830185823,-0.019928738886752933,0.05576277884304111,0.0010972998948943018,-0.005547147007522199,0.056298017218794696,0.0030504836998449664,-0.0030504836998449607,-0.2659914706332739,-0.20942181800641987,1.0,-0.012582561290741876,-0.009093741134431933,-0.030056186836922003,0.12709358947863086,-0.005392620067018623,-0.08925935399636124,0.0056020143254565564
other_ownership,-0.0065500537600596195,-0.003131429643413954,0.006367956709191132,-0.0040687600362725625,0.016666037966310596,0.016868493898717456,0.01419197668827624,-0.00841463440347761,-0.006105014142432543,-0.008558383541813867,0.003363613541996355,-0.0033636135419964847,-0.05298168428539358,-0.04171382119010455,-0.012582561290741876,1.0,-0.0115960504695185,-0.004383092818849151,0.009464527654456142,0.013490340164245048,-0.007130851781225397,0.0020301005453549747
education,-0.11570533292359939,-0.023037271619016936,-0.014081875890066068,-0.10351871384864811,-0.0067695401639145895,-0.025231628419218124,-0.007584515695242266,-0.09940814636926128,-0.021108782914875137,0.05508137075945668,0.0035228594157626107,-0.003522859415762682,-0.0010747045283032953,0.006639698502226274,-0.009093741134431933,-0.0115960504695185,1.0,-0.265353441918141,-0.241322870664894,-0.22810323284126985,-0.22256001668614683,-0.174931378498961
medical,0.03141330471112231,0.013331890242174346,-0.053713716902961055,0.03045869474433024,-0.04347307874743233,0.028058285327343634,0.034184950948116195,0.02538818700562672,0.008260753712888388,-0.05772383884406839,-0.015375465572815933,0.015375465572815859,0.09647739753759976,-0.0830372184748795,-0.030056186836922003,-0.004383092818849151,-0.265353441918141,1.0,-0.22993134234026683,-0.21733573106785042,-0.21205417972578913,-0.16667382815759674
venture,0.0053525422375083976,0.001287596300176301,0.017914488620517213,0.0044988396261683395,0.011126739765115074,-0.01749943037611705,0.0005053296106987392,0.007213254737831678,0.014671110170679184,0.06559984568454752,-2.264201486893383e-05,2.2642014868935484e-05,-0.049028485761537524,-0.0122876939371724,0.12709358947863086,0.009464527654456142,-0.241322870664894,-0.22993134234026683,1.0,-0.19765367330538128,-0.1928504225081925,-0.15157974354863013
personal,0.031375419248775474,0.0036823930597101396,0.02229053834803533,0.03149984715154391,0.010448335666195645,-0.008882382519286747,-0.007860186046986087,0.02987551460779739,0.006142388531790849,0.005837968610460566,-0.0016754791773311193,0.001675479177331157,-0.027182362635196116,0.02881406340848228,-0.005392620067018623,0.013490340164245048,-0.22810323284126985,-0.21733573106785042,-0.19765367330538128,1.0,-0.18228609956330447,-0.14327622343224172
debtconsolidation,0.004829965109171819,0.0029617360725421077,0.0056359383122867365,0.0006448721593453339,-0.005794965991852,0.006935550221729519,-0.010339902388099268,0.003310231879432409,-0.011980361670054484,-0.05371217068032148,0.009980179574082823,-0.009980179574082884,0.021777921711510398,0.02152486195446917,-0.08925935399636124,-0.007130851781225397,-0.22256001668614683,-0.21205417972578913,-0.1928504225081925,-0.18228609956330447,1.0,-0.13979441799492962
homeimprovement,0.06687168099888645,0.004252076768181177,0.03502038767714591,0.05725826837198131,0.04789245259031476,0.021843167448446364,-0.01411517686730732,0.05373909262468235,0.006367222248106852,-0.024352515236354334,0.005900099757052437,-0.005900099757052333,-0.05903923709973426,0.05702926044901509,0.0056020143254565564,0.0020301005453549747,-0.174931378498961,-0.16667382815759674,-0.15157974354863013,-0.14327622343224172,-0.13979441799492962,1.0
